brand,model,year,engine_cc,gear_type,fuel_type,mileage_km,condition,town,listing_month,listing_year,price_lkr
AUDI,A3 SPORTBACK,2023,1500.0,automatic,petrol,23843,RECONDITIONED,Colombo,4,2026,17533000.0
AUDI,A3 SPORTBACK,2023,1500.0,automatic,petrol,8123,RECONDITIONED,Kandy,4,2026,17907000.0
AUDI,A3 SPORTBACK,2023,1500.0,automatic,petrol,15875,RECONDITIONED,Matara,4,2026,16397000.0
AUDI,A3 SPORTBACK,2023,1500.0,automatic,petrol,26731,RECONDITIONED,Batticaloa,4,2026,16954000.0
AUDI,A3 SPORTBACK,2023,1500.0,automatic,petrol,27828,RECONDITIONED,Jaffna,4,2026,15686000.0
AUDI,A3 SPORTBACK,2017,1000.0,automatic,petrol,88000,USED,Battaramulla,2,2025,12500000.0
AUDI,A3 SPORTBACK,2017,1000.0,automatic,petrol,88000,USED,Colombo,1,2025,14250000.0
AUDI,A3 SPORTBACK,2017,1000.0,automatic,petrol,88000,USED,Battaramulla,1,2025,16500000.0
AUDI,A3 TFSI,2018,1000.0,automatic,petrol,77000,USED,Colombo,1,2025,14950000.0
AUDI,A3 TFSI,2015,1899.0,automatic,petrol,110000,USED,Nittambuwa,12,2024,15900000.0
AUDI,A3 TFSI,2015,1500.0,automatic,petrol,110000,USED,Nittambuwa,12,2024,15900000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Negombo,4,2026,26912000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,25522000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Colombo,4,2026,24589000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,25651000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Gampaha,4,2026,27118000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,26680000.0
AUDI,A4,2025,2000.0,automatic,petrol,7954,USED,Galle,4,2026,25494000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Jaffna,4,2026,27731000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,24602000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,26073000.0
AUDI,A4,2025,2000.0,automatic,petrol,9726,USED,Negombo,4,2026,25236000.0
AUDI,A4,2025,2000.0,automatic,petrol,0,BRAND NEW,Gampaha,4,2026,26928000.0
AUDI,A4,2025,2000.0,automatic,petrol,6558,USED,Jaffna,4,2026,23328000.0
AUDI,A4,2024,2000.0,automatic,petrol,13879,USED,Negombo,4,2026,24233000.0
AUDI,A4,2024,2000.0,automatic,petrol,11317,USED,Matara,4,2026,25088000.0
AUDI,A4,2024,2000.0,automatic,petrol,6710,USED,Gampaha,4,2026,23183000.0
AUDI,A4,2023,2000.0,automatic,petrol,15035,RECONDITIONED,Kalutara,4,2026,23487000.0
AUDI,A4,2023,2000.0,automatic,petrol,18172,RECONDITIONED,Galle,4,2026,21844000.0
AUDI,A4,2023,2000.0,automatic,petrol,13232,RECONDITIONED,Matara,4,2026,23327000.0
AUDI,A4,2023,2000.0,automatic,petrol,13561,RECONDITIONED,Galle,4,2026,24831000.0
AUDI,A4,2023,2000.0,automatic,petrol,17442,RECONDITIONED,Batticaloa,4,2026,23407000.0
AUDI,A4,2023,2000.0,automatic,petrol,23652,RECONDITIONED,Kurunegala,4,2026,21828000.0
AUDI,A4,2023,2000.0,automatic,petrol,24315,RECONDITIONED,Kalutara,4,2026,24029000.0
AUDI,A4,2023,2000.0,automatic,petrol,12340,RECONDITIONED,Matara,4,2026,23569000.0
AUDI,A4,2023,2000.0,automatic,petrol,17309,RECONDITIONED,Negombo,4,2026,23421000.0
AUDI,A4,2019,1400.0,automatic,petrol,66000,USED,Battaramulla,1,2025,22500000.0
AUDI,A4,2016,2000.0,automatic,petrol,99000,USED,Kiribathgoda,1,2025,21000000.0
AUDI,A4,2012,2000.0,automatic,diesel,143000,USED,Kandana,1,2025,16900000.0
AUDI,A4,2012,1800.0,automatic,petrol,143000,USED,Wattala,1,2025,13900000.0
AUDI,A4,2012,1800.0,automatic,petrol,143000,USED,Colombo,12,2024,14500000.0
AUDI,A4,2012,1800.0,automatic,petrol,143000,USED,Homagama,12,2024,15500000.0
AUDI,A4,2011,2000.0,automatic,petrol,154000,USED,Colombo,1,2025,12500000.0
AUDI,A4,2011,2000.0,automatic,diesel,154000,USED,Colombo,1,2025,10800000.0
AUDI,A4,2011,2000.0,automatic,diesel,154000,USED,Kegalle,12,2024,11650000.0
AUDI,A4,2010,1800.0,automatic,petrol,165000,USED,Kotte,2,2025,11800000.0
AUDI,A4,2010,1800.0,automatic,petrol,165000,USED,Gampaha,12,2024,10000000.0
AUDI,A4,2003,1800.0,automatic,petrol,242000,USED,Moratuwa,1,2025,5360000.0
AUDI,A4,2001,1900.0,manual,diesel,264000,USED,Piliyandala,2,2025,3880000.0
AUDI,A4,1999,1900.0,manual,diesel,286000,USED,Anuradapura,1,2025,3150000.0
AUDI,A4 1.9 TDI,2001,1900.0,manual,diesel,264000,USED,Kotte,1,2025,500000.0
AUDI,A4 B8,2011,1800.0,automatic,petrol,154000,USED,Weligama,1,2025,11200000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,28212000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,28048000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,1982,USED,Gampaha,4,2026,25392000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,27815000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Matara,4,2026,27014000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Colombo,4,2026,27740000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,5164,USED,Kurunegala,4,2026,23383000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Galle,4,2026,26301000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,4736,USED,Batticaloa,4,2026,23061000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Jaffna,4,2026,25728000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Jaffna,4,2026,26520000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,3251,USED,Colombo,4,2026,24521000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,12984,USED,Negombo,4,2026,25136000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,25686000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Galle,4,2026,27973000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,27309000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Negombo,4,2026,27698000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Negombo,4,2026,25615000.0
AUDI,A4 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,25902000.0
AUDI,A4 PREMIUM PLUS,2024,2000.0,automatic,petrol,13889,USED,Gampaha,4,2026,24006000.0
AUDI,A4 PREMIUM PLUS,2024,2000.0,automatic,petrol,3833,USED,Kandy,4,2026,25806000.0
AUDI,A4 PREMIUM PLUS,2023,2000.0,automatic,petrol,27806,RECONDITIONED,Gampaha,4,2026,21855000.0
AUDI,A4 PREMIUM PLUS,2023,2000.0,automatic,petrol,9294,RECONDITIONED,Galle,4,2026,22446000.0
AUDI,A4 PREMIUM PLUS,2023,2000.0,automatic,petrol,23834,RECONDITIONED,Matara,4,2026,22957000.0
AUDI,A4 PREMIUM PLUS,2023,2000.0,automatic,petrol,23328,RECONDITIONED,Gampaha,4,2026,24768000.0
AUDI,A4 RS4 CONVERSION,2012,1800.0,automatic,petrol,143000,USED,Kegalle,12,2024,14000000.0
AUDI,A4 S LINE,2016,1600.0,automatic,petrol,99000,USED,Colombo,1,2025,21500000.0
AUDI,A4 S LINE,2010,1800.0,automatic,petrol,165000,USED,Galle,1,2025,10200000.0
AUDI,A5,2018,1400.0,automatic,petrol,77000,USED,Colombo,12,2024,31650000.0
AUDI,A5,2014,2000.0,automatic,petrol,121000,USED,Colombo,12,2024,22000000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,1194,USED,Jaffna,4,2026,31684000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,29948000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Galle,4,2026,30774000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Colombo,4,2026,34185000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Matara,4,2026,30050000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,13620,USED,Jaffna,4,2026,29201000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Colombo,4,2026,33566000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,14585,USED,Colombo,4,2026,29706000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,13719,USED,Colombo,4,2026,30589000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Matara,4,2026,29756000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Matara,4,2026,33277000.0
AUDI,A5 PREMIUM PLUS,2025,2000.0,automatic,petrol,0,BRAND NEW,Galle,4,2026,33267000.0
AUDI,A5 PREMIUM PLUS,2024,2000.0,automatic,petrol,2932,USED,Batticaloa,4,2026,28706000.0
AUDI,A5 PREMIUM PLUS,2024,2000.0,automatic,petrol,11828,USED,Negombo,4,2026,28324000.0
AUDI,A5 PREMIUM PLUS,2024,2000.0,automatic,petrol,13769,USED,Jaffna,4,2026,30804000.0
AUDI,A5 PREMIUM PLUS,2024,2000.0,automatic,petrol,7964,USED,Jaffna,4,2026,28491000.0
AUDI,A5 PREMIUM PLUS,2024,2000.0,automatic,petrol,5951,USED,Jaffna,4,2026,31935000.0
AUDI,A5 PREMIUM PLUS,2023,2000.0,automatic,petrol,11075,RECONDITIONED,Negombo,4,2026,26288000.0
AUDI,A5 PREMIUM PLUS,2023,2000.0,automatic,petrol,25409,RECONDITIONED,Colombo,4,2026,27901000.0
AUDI,A5 PREMIUM PLUS,2023,2000.0,automatic,petrol,17367,RECONDITIONED,Kurunegala,4,2026,28132000.0
AUDI,A5 PREMIUM PLUS,2023,2000.0,automatic,petrol,22074,RECONDITIONED,Kurunegala,4,2026,26542000.0
AUDI,A5 PREMIUM PLUS,2023,2000.0,automatic,petrol,16488,RECONDITIONED,Negombo,4,2026,28284000.0
AUDI,A5 PREMIUM PLUS,2023,2000.0,automatic,petrol,12882,RECONDITIONED,Kandy,4,2026,30131000.0
AUDI,A5 PREMIUM PLUS,2023,2000.0,automatic,petrol,26365,RECONDITIONED,Gampaha,4,2026,29274000.0
AUDI,A5 PREMIUM PLUS,2023,2000.0,automatic,petrol,20922,RECONDITIONED,Kurunegala,4,2026,29296000.0
AUDI,A6,2025,2000.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,40123000.0
AUDI,A6,2025,2000.0,automatic,petrol,0,BRAND NEW,Matara,4,2026,40062000.0
AUDI,A6,2025,2000.0,automatic,petrol,0,BRAND NEW,Negombo,4,2026,42552000.0
AUDI,A6,2025,2000.0,automatic,petrol,0,BRAND NEW,Kurunegala,4,2026,44554000.0
AUDI,A6,2025,2000.0,automatic,petrol,7018,USED,Galle,4,2026,39819000.0
AUDI,A6,2025,2000.0,automatic,petrol,0,BRAND NEW,Jaffna,4,2026,39823000.0
AUDI,A6,2025,2000.0,automatic,petrol,7052,USED,Kurunegala,4,2026,36104000.0
AUDI,A6,2025,2000.0,automatic,petrol,5545,USED,Matara,4,2026,41116000.0
AUDI,A6,2025,2000.0,automatic,petrol,0,BRAND NEW,Kandy,4,2026,43870000.0
AUDI,A6,2025,2000.0,automatic,petrol,0,BRAND NEW,Kalutara,4,2026,40366000.0
AUDI,A6,2025,2000.0,automatic,petrol,0,BRAND NEW,Negombo,4,2026,41140000.0
AUDI,A6,2024,2000.0,automatic,petrol,7895,USED,Colombo,4,2026,36151000.0
AUDI,A6,2024,2000.0,automatic,petrol,12788,USED,Negombo,4,2026,40534000.0
AUDI,A6,2024,2000.0,automatic,petrol,5477,USED,Kalutara,4,2026,39849000.0
AUDI,A6,2024,2000.0,automatic,petrol,1319,USED,Kurunegala,4,2026,40070000.0
AUDI,A6,2024,2000.0,automatic,petrol,7519,USED,Kalutara,4,2026,38548000.0
AUDI,A6,2024,2000.0,automatic,petrol,8353,USED,Colombo,4,2026,40881000.0
AUDI,A6,2023,2000.0,automatic,petrol,14540,RECONDITIONED,Kandy,4,2026,35463000.0
AUDI,A6,2023,2000.0,automatic,petrol,20417,RECONDITIONED,Kurunegala,4,2026,35851000.0
AUDI,A6,2023,2000.0,automatic,petrol,18884,RECONDITIONED,Galle,4,2026,35247000.0
AUDI,A6,2023,2000.0,automatic,petrol,12456,RECONDITIONED,Kalutara,4,2026,39087000.0
AUDI,A6,2023,2000.0,automatic,petrol,21961,RECONDITIONED,Galle,4,2026,38166000.0
AUDI,A6,2023,2000.0,automatic,petrol,18326,RECONDITIONED,Negombo,4,2026,37218000.0
AUDI,A6,2023,2000.0,automatic,petrol,26847,RECONDITIONED,Gampaha,4,2026,35776000.0
AUDI,A6,2023,2000.0,automatic,petrol,18075,RECONDITIONED,Matara,4,2026,34725000.0
AUDI,A6,2013,2000.0,automatic,petrol,132000,USED,Colombo,2,2025,18000000.0
AUDI,A6,2013,2000.0,automatic,diesel,132000,USED,Ratnapura,1,2025,18000000.0
AUDI,A6,2013,2000.0,automatic,petrol,132000,USED,Gampaha,12,2024,18000000.0
AUDI,A6,2012,2000.0,automatic,petrol,143000,USED,Nugegoda,1,2025,14900000.0
AUDI,A6,2011,2000.0,automatic,petrol,154000,USED,Nugegoda,2,2025,11490000.0
AUDI,A6,2003,2000.0,manual,diesel,242000,USED,Colombo,12,2024,4850000.0
AUDI,A6,2001,1900.0,manual,diesel,264000,USED,Hambantota,1,2025,4800000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,42804000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,0,BRAND NEW,Batticaloa,4,2026,39366000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,5466,USED,Kalutara,4,2026,37776000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,13452,USED,Negombo,4,2026,36811000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,2062,USED,Matara,4,2026,37500000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,0,BRAND NEW,Jaffna,4,2026,39290000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,11734,USED,Galle,4,2026,39806000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,9976,USED,Jaffna,4,2026,37140000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,6918,USED,Kandy,4,2026,37269000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,5679,USED,Jaffna,4,2026,37797000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,0,BRAND NEW,Negombo,4,2026,44439000.0
AUDI,A6 EXECUTIVE,2025,2000.0,automatic,petrol,0,BRAND NEW,Negombo,4,2026,44742000.0
AUDI,A6 EXECUTIVE,2024,2000.0,automatic,petrol,3358,USED,Kurunegala,4,2026,38055000.0
AUDI,A6 EXECUTIVE,2024,2000.0,automatic,petrol,1057,USED,Kandy,4,2026,36874000.0
AUDI,A6 EXECUTIVE,2024,2000.0,automatic,petrol,6371,USED,Kandy,4,2026,35980000.0
AUDI,A6 EXECUTIVE,2024,2000.0,automatic,petrol,1020,USED,Negombo,4,2026,36364000.0
AUDI,A6 EXECUTIVE,2024,2000.0,automatic,petrol,6162,USED,Negombo,4,2026,37342000.0
AUDI,A6 EXECUTIVE,2024,2000.0,automatic,petrol,5501,USED,Jaffna,4,2026,41038000.0
AUDI,A6 EXECUTIVE,2024,2000.0,automatic,petrol,3250,USED,Kandy,4,2026,36298000.0
AUDI,A6 EXECUTIVE,2023,2000.0,automatic,petrol,25444,RECONDITIONED,Negombo,4,2026,35595000.0
AUDI,A6 EXECUTIVE,2023,2000.0,automatic,petrol,24186,RECONDITIONED,Negombo,4,2026,36261000.0
AUDI,A6 EXECUTIVE,2023,2000.0,automatic,petrol,20982,RECONDITIONED,Colombo,4,2026,35612000.0
AUDI,A6 EXECUTIVE,2023,2000.0,automatic,petrol,24272,RECONDITIONED,Jaffna,4,2026,36118000.0
AUDI,A6 EXECUTIVE,2023,2000.0,automatic,petrol,16559,RECONDITIONED,Colombo,4,2026,35570000.0
AUDI,A6 EXECUTIVE,2023,2000.0,automatic,petrol,18907,RECONDITIONED,Gampaha,4,2026,34347000.0
AUDI,A6 S LINE,2016,1800.0,automatic,petrol,99000,USED,Colombo,1,2025,24800000.0
AUDI,A6 S LINE,2010,2000.0,automatic,petrol,165000,USED,Dehiwala-Mount-Lavinia,2,2025,11750000.0
AUDI,A6 T1.8,2004,1800.0,automatic,petrol,231000,USED,Nittambuwa,1,2025,8695000.0
AUDI,A6 TFSI,2017,1800.0,automatic,petrol,88000,USED,Moratuwa,1,2025,25650000.0
AUDI,A8L,2013,3000.0,automatic,diesel,132000,USED,Maharagama,1,2025,25000000.0
AUDI,A8L,2013,3000.0,automatic,hybrid,132000,USED,Colombo,12,2024,25000000.0
AUDI,Q3 SPORTBACK,2025,1500.0,automatic,petrol,0,BRAND NEW,Negombo,4,2026,21435000.0
AUDI,Q3 SPORTBACK,2025,1500.0,automatic,petrol,11345,USED,Batticaloa,4,2026,20472000.0
AUDI,Q3 SPORTBACK,2025,1500.0,automatic,petrol,3681,USED,Colombo,4,2026,19615000.0
